houseid,pno,p3p3_sex,p3p4_age,occupn
402060321648e11,2,2. Female,19,6113
406070521582e11,1,2. Female,54,6113
702020122427e11,1,1. Male,68,6113
403110321666e11,1,1. Male,46,6113
100203042283e12,1,1. Male,70,6113
130209022319e12,2,2. Female,22,6113
306080421372e11,2,2. Female,55,6113
100504012278e12,3,1. Male,18,6113
902040322738e11,1,1. Male,45,6113
602050212065e11,1,1. Male,34,6113
101050121001e11,1,2. Female,71,6113
404050321515e11,3,1. Male,15,6113
110408022287e12,1,1. Male,76,6113
302090221324e11,6,2. Female,62,6113
803020122576e11,1,1. Male,32,6113
703030822403e11,3,1. Male,18,6113
120401102311e12,1,2. Female,53,6113
306080421371e11,1,2. Female,67,6113
701060422388e11,2,2. Female,67,6113
101070321069e11,1,2. Female,70,6113
110301042287e12,6,1. Male,60,6113
120201062307e12,1,1. Male,21,6113
604010222097e11,1,1. Male,48,6113
110305052288e12,3,1. Male,24,6113
805010222613e11,2,2. Female,63,6113
120201062307e12,1,1. Male,77,6113
302020221295e11,1,1. Male,53,6113
130206042322e12,1,1. Male,63,6113
110306051287e12,1,1. Male,48,6113
401040421607e11,3,1. Male,20,6113
301030321377e11,3,2. Female,30,6113
704030222461e11,2,1. Male,49,6113
304110121342e11,1,2. Female,70,6113
103070321008e11,2,2. Female,44,6113
70313042236e12,1,1. Male,28,6113
803032412597e11,1,1. Male,26,6113
406040421578e11,8,2. Female,28,6113
120306022296e12,1,1. Male,37,6113
401030321625e11,1,1. Male,23,6113
130509072329e12,2,2. Female,26,6113
703060322359e11,2,1. Male,19,6113
705040322267e11,2,2. Female,41,6113
104040221029e11,6,1. Male,15,6113
903020427253e11,1,2. Female,25,6113
120102092305e12,2,1. Male,26,6113
130501052328e12,8,2. Female,72,6113
120202022309e12,1,1. Male,28,6113
601020321832e11,1,1. Male,68,6113
702050222296e11,1,1. Male,65,6113
406011011586e11,1,1. Male,53,6113
502030221725e11,4,2. Female,35,6113
402020121661e11,1,1. Male,68,6113
404030121639e11,3,1. Male,21,6113
101010321062e11,1,1. Male,63,6113
70407022238e12,1,1. Male,50,6113
30405032135e12,2,2. Female,68,6113
803020222575e11,3,1. Male,34,6113
302010611312e11,4,1. Male,18,6113
903050622671e11,1,1. Male,78,6113
130305032323e12,11,2. Female,23,6113
302010811327e11,2,1. Male,22,6113
305070321332e11,1,1. Male,27,6113
403070321667e11,1,1. Male,48,6113
703060222299e11,4,1. Male,22,6113
40605051154e12,6,1. Male,28,6113
402020421659e11,1,1. Male,25,6113
704070422469e11,4,2. Female,16,6113
902030222758e11,1,2. Female,42,6113
302010221251e11,2,2. Female,22,6113
601030121835e11,2,2. Female,58,6113
803032012617e11,3,2. Female,19,6113
13020505232e13,1,1. Male,75,6113
101010121061e11,1,1. Male,30,6113
606030621942e11,1,1. Male,51,6113
10020305228e13,4,2. Female,24,6113
705010122368e11,1,1. Male,24,6113
302050221286e11,1,1. Male,75,6113
130104022315e12,1,1. Male,53,6113
40302012167e12,1,1. Male,70,6113
102040421058e11,1,2. Female,49,6113
304020221339e11,2,2. Female,65,6113
505030311687e11,1,1. Male,63,6113
603023812236e11,1,1. Male,62,6113
703100322352e11,1,1. Male,38,6113
403120321664e11,1,2. Female,70,6113
703040922412e11,1,1. Male,74,6113
104020421047e11,2,2. Female,57,6113
802080122497e11,1,2. Female,61,6113
402060421641e11,1,1. Male,62,6113
403030521479e11,1,1. Male,81,6113
201050121154e11,2,2. Female,33,6113
130206042318e12,1,1. Male,53,6113
601030121835e11,2,2. Female,45,6113
304110121386e11,2,2. Female,55,6113
201070121103e11,2,2. Female,39,6113
703090222266e11,1,1. Male,54,6113
203010421169e11,1,1. Male,45,6113
7.0204012228000004e+22,1,1. Male,64,6113
805010122591e11,1,2. Female,71,6113
701110322391e11,5,1. Male,26,6113
901080122665e11,1,1. Male,47,6113
302030421326e11,7,2. Female,17,6113
704020822314e11,4,2. Female,16,6113
130502042328e12,1,1. Male,31,6113
903040122746e11,1,1. Male,65,6113
130303012324e12,1,1. Male,37,6113
901040222657e11,1,1. Male,35,6113
110305042288e12,1,1. Male,33,6113
110306112289e12,1,2. Female,65,6113
203010421169e11,2,2. Female,30,6113
404050321619e11,1,1. Male,50,6113
702060422335e11,1,1. Male,47,6113
704060822383e11,1,1. Male,18,6113
901090322654e11,10,1. Male,27,6113
110205012286e12,3,1. Male,18,6113
13020702232e13,10,2. Female,70,6113
110302082293e12,1,1. Male,43,6113
130502052329e12,1,1. Male,25,6113
702050412295e11,1,2. Female,65,6113
406051021574e11,6,1. Male,17,6113
30405022135e12,2,2. Female,77,6113
704060622379e11,4,2. Female,17,6113
606030421948e11,2,2. Female,39,6113
702050412295e11,1,2. Female,62,6113
306080421372e11,3,1. Male,22,6113
703060622346e11,1,1. Male,44,6113
903030822649e11,2,1. Male,30,6113
704061022382e11,1,1. Male,60,6113
704060822379e11,1,1. Male,75,6113
803100122571e11,1,1. Male,62,6113
304130221346e11,7,1. Male,36,6113
406070221582e11,1,2. Female,40,6113
903030122702e11,3,2. Female,60,6113
120306122298e12,1,1. Male,40,6113
130303032324e12,2,2. Female,65,6113
704080522264e11,4,2. Female,15,6113
704020822316e11,1,1. Male,43,6113
403030121478e11,5,2. Female,22,6113
304120221355e11,1,1. Male,65,6113
306060121249e11,1,1. Male,48,6113
301030221427e11,1,2. Female,72,6113
605050612045e11,1,1. Male,43,6113
100602012283e12,2,2. Female,61,6113
203010421169e11,2,2. Female,39,6113
804020122508e11,1,1. Male,40,6113
702010422421e11,10,1. Male,80,6113
901060122711e11,1,1. Male,63,6113
703100122406e11,1,1. Male,52,6113
204080821095e11,1,1. Male,71,6113
804060222546e11,2,2. Female,29,6113
12030101231e13,2,2. Female,42,6113
303050921362e11,2,2. Female,55,6113
110304032293e12,3,1. Male,15,6113
11030512229e13,1,1. Male,45,6113
305030321276e11,1,1. Male,52,6113
70313022236e12,5,1. Male,29,6113
406070221585e11,2,2. Female,44,6113
110104052291e12,2,2. Female,61,6113
304060221389e11,3,2. Female,65,6113
901010322641e11,1,1. Male,40,6113
101110921066e11,1,1. Male,55,6113
401030121623e11,1,1. Male,46,6113
403050221496e11,1,2. Female,51,6113
804010222502e11,1,1. Male,74,6113
102030421008e11,1,1. Male,29,6113
302030421409e11,2,2. Female,75,6113
101020221071e11,1,1. Male,42,6113
704061022385e11,2,2. Female,40,6113
901080522762e11,1,1. Male,57,6113
110408022287e12,2,2. Female,32,6113
305020121266e11,2,2. Female,51,6113
130101022313e12,4,1. Male,21,6113
130208012321e12,1,2. Female,69,6113
405070121527e11,1,1. Male,31,6113
60102022183e12,2,2. Female,53,6113
110305052288e12,2,2. Female,64,6113
100401012283e12,9,2. Female,24,6113
50203012172e12,2,1. Male,18,6113
703130822278e11,1,1. Male,48,6113
100503022279e12,7,1. Male,27,6113
602060512226e11,7,1. Male,46,6113
130304072328e12,1,1. Male,73,6113
505010521752e11,6,2. Female,17,6113
102050121011e11,2,2. Female,56,6113
203030621175e11,2,2. Female,35,6113
601020321831e11,2,2. Female,21,6113
406070121582e11,2,2. Female,36,6113
604010221825e11,5,1. Male,27,6113
406070621604e11,1,1. Male,25,6113
703110322305e11,1,1. Male,30,6113
306060121249e11,1,1. Male,46,6113
70111032239e12,1,1. Male,54,6113
110301052286e12,2,2. Female,35,6113
204010821159e11,1,1. Male,62,6113
201050121154e11,2,2. Female,20,6113
201040121111e11,1,1. Male,69,6113
506030121692e11,1,2. Female,35,6113
100304022277e12,3,1. Male,35,6113
803031212589e11,1,2. Female,61,6113
901080222666e11,1,1. Male,41,6113
60201012185e12,2,2. Female,46,6113
100302032277e12,3,1. Male,11,6113
304020121339e11,1,1. Male,47,6113
304090221342e11,1,2. Female,73,6113
204080921197e11,1,1. Male,44,6113
705040222266e11,1,1. Male,46,6113
702070622422e11,11,2. Female,30,6113
803070222583e11,1,1. Male,54,6113
202010221142e11,2,2. Female,19,6113
703010622403e11,1,1. Male,49,6113
802080322496e11,4,1. Male,21,6113
703100722407e11,4,2. Female,16,6113
30404012136e12,2,2. Female,62,6113
403040221471e11,2,1. Male,45,6113
202011121141e11,1,1. Male,30,6113
405010521523e11,1,1. Male,63,6113
8030105226e13,2,2. Female,57,6113
902050322741e11,1,2. Female,60,6113
703040922437e11,1,1. Male,47,6113
406070621603e11,1,1. Male,63,6113
130303032324e12,2,2. Female,42,6113
130206042322e12,1,1. Male,32,6113
702030122345e11,1,1. Male,47,6113
702060122281e11,6,2. Female,10,6113
403100121673e11,1,1. Male,47,6113
13020303232e13,1,1. Male,60,6113
100602012283e12,2,2. Female,34,6113
402040521659e11,1,2. Female,74,6113
13020505232e13,8,1. Male,19,6113
402050221657e11,1,1. Male,32,6113
110411012291e12,1,1. Male,43,6113
305020121266e11,2,2. Female,36,6113
40308012167e12,2,2. Female,61,6113
303060321399e11,3,2. Female,20,6113
701080222288e11,1,1. Male,48,6113
404050321514e11,2,1. Male,29,6113
702100412291e11,2,2. Female,49,6113
110303032292e12,5,2. Female,37,6113
804050322511e11,1,1. Male,43,6113
102020121028e11,9,2. Female,19,6113
304080221359e11,1,1. Male,49,6113
606030421948e11,3,2. Female,29,6113
902030612693e11,10,2. Female,25,6113
505031921767e11,1,1. Male,77,6113
204030121182e11,1,2. Female,67,6113
803060122554e11,1,1. Male,48,6113
13050901233e13,2,1. Male,28,6113
903010622653e11,1,1. Male,50,6113
130510042329e12,2,2. Female,45,6113
601030121835e11,2,2. Female,62,6113
30507062133e12,1,1. Male,60,6113
202020521137e11,1,1. Male,52,6113
120306122298e12,1,1. Male,39,6113
803080222561e11,1,2. Female,65,6113
30608012144e12,1,2. Female,75,6113
110306041294e12,8,2. Female,31,6113
702020122427e11,4,1. Male,15,6113
803032712589e11,2,2. Female,32,6113
703050222415e11,1,1. Male,54,6113
301070621426e11,2,2. Female,36,6113
403110321504e11,5,2. Female,20,6113
110104012292e12,1,1. Male,34,6113
130304092317e12,2,2. Female,44,6113
120203082308e12,1,1. Male,45,6113
901090522644e11,4,2. Female,19,6113
304150321349e11,1,1. Male,45,6113
801040122525e11,1,1. Male,45,6113
703070322351e11,4,2. Female,25,6113
803050122579e11,1,2. Female,78,6113
100504032278e12,2,2. Female,25,6113
130504012329e12,2,2. Female,60,6113
8020603225e13,1,1. Male,71,6113
303050721224e11,1,2. Female,46,6113
704061022381e11,2,2. Female,44,6113
304040321386e11,2,2. Female,44,6113
110302052287e12,7,2. Female,21,6113
902040422759e11,1,1. Male,37,6113
704061122382e11,2,2. Female,60,6113
802070322503e11,1,1. Male,35,6113
501020221734e11,1,1. Male,44,6113
302090711459e11,2,1. Male,34,6113
110306091286e12,2,2. Female,55,6113
406030211571e11,1,1. Male,66,6113
304130221345e11,1,1. Male,68,6113
402060321618e11,1,1. Male,50,6113
305060121267e11,2,2. Female,58,6113
701110222392e11,3,1. Male,25,6113
304110121341e11,5,1. Male,16,6113
3030602214e13,1,1. Male,50,6113
402040421658e11,5,2. Female,40,6113
703090422356e11,1,1. Male,32,6113
703100622262e11,2,2. Female,39,6113
120203082307e12,2,2. Female,42,6113
804050322512e11,1,1. Male,71,6113
101010121004e11,4,1. Male,26,6113
103020221053e11,1,1. Male,44,6113
901040222657e11,1,1. Male,62,6113
606030321943e11,1,1. Male,34,6113
902060222688e11,6,2. Female,23,6113
100304012277e12,1,1. Male,40,6113
130301052323e12,2,2. Female,63,6113
606030422106e11,1,2. Female,65,6113
120308162302e12,1,1. Male,36,6113
110104012291e12,9,1. Male,31,6113
110101012293e12,2,2. Female,23,6113
902030422761e11,1,1. Male,53,6113
110302062292e12,2,1. Male,22,6113
703130522361e11,12,1. Male,25,6113
120308092302e12,1,2. Female,72,6113
110302012295e12,1,1. Male,60,6113
110305042288e12,3,2. Female,20,6113
404030221638e11,2,2. Female,32,6113
110104012291e12,1,1. Male,56,6113
120308102301e12,1,2. Female,48,6113
804040122544e11,2,2. Female,44,6113
505030711767e11,1,2. Female,79,6113
702080122431e11,1,2. Female,61,6113
805020522621e11,3,2. Female,57,6113
110305092289e12,2,1. Male,40,6113
803031112564e11,1,1. Male,50,6113
204050221203e11,3,2. Female,30,6113
804020222507e11,1,1. Male,45,6113
703130422362e11,2,2. Female,18,6113
703090222302e11,1,1. Male,51,6113
304110121342e11,3,2. Female,42,6113
130501052325e12,1,1. Male,32,6113
130509062329e12,1,1. Male,50,6113
130302092323e12,3,2. Female,73,6113
70210092246e12,1,1. Male,53,6113
201050121154e11,2,2. Female,68,6113
705040222269e11,6,1. Male,27,6113
102030421008e11,6,2. Female,28,6113
130102012312e12,1,1. Male,79,6113
104030121015e11,8,2. Female,68,6113
201020121105e11,1,1. Male,34,6113
7030507223e13,5,1. Male,18,6113
803050122579e11,1,1. Male,38,6113
406020221525e11,5,1. Male,37,6113
303040221243e11,1,1. Male,44,6113
705040322268e11,3,2. Female,14,6113
110409012287e12,1,1. Male,56,6113
70111032239e12,3,2. Female,17,6113
110406012294e12,1,1. Male,62,6113
703130722477e11,1,2. Female,48,6113
70309022231e12,2,2. Female,25,6113
703050522304e11,4,1. Male,16,6113
110303052285e12,4,1. Male,19,6113
403090421502e11,2,2. Female,33,6113
703030722276e11,2,2. Female,29,6113
303030321365e11,8,1. Male,21,6113
110303042292e12,6,2. Female,30,6113
704080122326e11,3,2. Female,24,6113
404060121636e11,3,2. Female,20,6113
606060411952e11,2,2. Female,60,6113
110204012285e12,3,1. Male,32,6113
30413022139e12,2,2. Female,62,6113
703030622276e11,1,1. Male,57,6113
110301042291e12,1,2. Female,62,6113
704060522476e11,3,1. Male,30,6113
120308052301e12,1,1. Male,37,6113
302010411233e11,4,1. Male,26,6113
901040422669e11,6,1. Male,73,6113
101050221073e11,3,2. Female,27,6113
804040122544e11,2,2. Female,38,6113
130302022323e12,1,1. Male,47,6113
403130521493e11,4,1. Male,22,6113
305040221227e11,1,1. Male,53,6113
11040403229e13,2,2. Female,44,6113
301050321428e11,1,1. Male,39,6113
130504012329e12,2,2. Female,47,6113
901090122655e11,2,2. Female,29,6113
406060221565e11,1,1. Male,55,6113
602040811919e11,4,1. Male,25,6113
120401032311e12,1,1. Male,68,6113
130104022315e12,1,1. Male,21,6113
406060521563e11,1,1. Male,73,6113
302100221297e11,7,1. Male,77,6113
130510022329e12,1,1. Male,65,6113
704080622323e11,1,1. Male,50,6113
30210042129e12,2,1. Male,28,6113
120105022305e12,2,2. Female,30,6113
10102022107e12,1,2. Female,56,6113
110305092289e12,1,1. Male,55,6113
100305062276e12,1,1. Male,74,6113
304090221343e11,2,2. Female,66,6113
70201032237e12,1,2. Female,60,6113
130301022324e12,1,1. Male,46,6113
702060122455e11,2,2. Female,31,6113
130206042321e12,1,1. Male,53,6113
120203092308e12,1,1. Male,68,6113
303070421365e11,4,1. Male,36,6113
100305062276e12,3,1. Male,11,6113
403120121663e11,1,1. Male,76,6113
703110422303e11,2,1. Male,25,6113
120306122301e12,1,1. Male,45,6113
403130221491e11,1,1. Male,71,6113
406060121562e11,1,1. Male,45,6113
703100722407e11,1,1. Male,41,6113
60603042195e12,5,1. Male,35,6113
402040521537e11,4,1. Male,27,6113
80403032251e12,8,2. Female,66,6113
703050522299e11,2,2. Female,59,6113
120306062297e12,1,1. Male,32,6113
704070422469e11,1,1. Male,30,6113
701040122254e11,1,1. Male,49,6113
601040321827e11,3,2. Female,31,6113
406050511621e11,3,1. Male,39,6113
703030622405e11,1,1. Male,40,6113
120308032301e12,1,2. Female,41,6113
803070222583e11,2,2. Female,40,6113
110302062292e12,1,2. Female,67,6113
130302042323e12,1,1. Male,47,6113
306010621438e11,1,1. Male,45,6113
601050221894e11,10,1. Male,40,6113
505032021713e11,1,1. Male,36,6113
102040221058e11,2,2. Female,36,6113
305020321227e11,2,2. Female,58,6113
302010411311e11,3,1. Male,33,6113
901080222728e11,5,1. Male,37,6113
103020121021e11,4,1. Male,22,6113
404030121638e11,4,1. Male,10,6113
302100421292e11,9,1. Male,68,6113
302110521318e11,5,1. Male,21,6113
110308022291e12,9,1. Male,27,6113
502030221725e11,2,2. Female,35,6113
703090122357e11,8,2. Female,18,6113
403030121478e11,2,1. Male,50,6113
100304042277e12,2,2. Female,47,6113
301040221422e11,1,1. Male,63,6113
30105032142e12,2,2. Female,28,6113
204060321192e11,9,1. Male,32,6113
701020322284e11,1,2. Female,75,6113
110308012291e12,2,2. Female,40,6113
403100421506e11,2,2. Female,55,6113
404030321637e11,5,2. Female,68,6113
704080522322e11,7,2. Female,38,6113
120203062308e12,1,1. Male,30,6113
104050121014e11,2,2. Female,30,6113
702010222459e11,10,2. Female,25,6113
705030222364e11,2,2. Female,25,6113
110408022287e12,2,2. Female,44,6113
302030921262e11,3,2. Female,20,6113
404020221646e11,3,2. Female,29,6113
130504012326e12,2,2. Female,46,6113
130501032328e12,1,1. Male,52,6113
302010411452e11,2,2. Female,56,6113
100202032278e12,2,2. Female,49,6113
303060421299e11,1,1. Male,60,6113
805010522619e11,1,1. Male,45,6113
90108052276e12,2,1. Male,31,6113
702061412336e11,4,1. Male,20,6113
802020522502e11,1,1. Male,59,6113
506040521735e11,1,1. Male,25,6113
701020122283e11,1,2. Female,52,6113
110405012287e12,6,2. Female,33,6113
110305122289e12,1,1. Male,40,6113
100303012276e12,6,2. Female,23,6113
302030421408e11,8,2. Female,18,6113
130505012328e12,2,2. Female,50,6113
404050221646e11,1,1. Male,54,6113
120308172302e12,1,1. Male,63,6113
130505052327e12,1,1. Male,45,6113
302010411223e11,4,2. Female,44,6113
100103012282e12,2,2. Female,55,6113
202020521137e11,2,2. Female,67,6113
103070321008e11,2,2. Female,35,6113
703010422313e11,1,1. Male,67,6113
302090321464e11,8,2. Female,67,6113
403150321509e11,1,1. Male,34,6113
12040101231e13,3,2. Female,22,6113
201010921106e11,1,1. Male,38,6113
110301021286e12,1,2. Female,46,6113
110302062294e12,1,1. Male,67,6113
130302012323e12,3,1. Male,41,6113
304140421393e11,1,1. Male,31,6113
130103022317e12,1,1. Male,31,6113
404030321637e11,1,2. Female,69,6113
303060321365e11,1,1. Male,56,6113
703030822397e11,1,1. Male,39,6113
100403012281e12,3,1. Male,24,6113
601030421833e11,2,2. Female,37,6113
110305112286e12,1,2. Female,67,6113
702010422421e11,1,1. Male,50,6113
304010221357e11,1,1. Male,36,6113
403130521493e11,5,1. Male,57,6113
406030211572e11,4,2. Female,39,6113
403170221478e11,2,2. Female,54,6113
901040722732e11,1,1. Male,33,6113
10105012102e12,1,1. Male,20,6113
110205022286e12,2,2. Female,28,6113
204020321152e11,1,2. Female,66,6113
100102012282e12,8,1. Male,15,6113
803010522598e11,2,2. Female,52,6113
401030221624e11,1,1. Male,28,6113
110305042295e12,2,2. Female,69,6113
403010521561e11,1,1. Male,60,6113
120302071303e12,1,1. Male,42,6113
602041921988e11,2,1. Male,32,6113
120306022296e12,1,1. Male,69,6113
101010321062e11,1,1. Male,51,6113
100303012276e12,1,2. Female,63,6113
703030822363e11,2,2. Female,29,6113
101050221073e11,6,1. Male,21,6113
120401172312e12,1,1. Male,68,6113
402040521535e11,2,2. Female,37,6113
804020222506e11,1,2. Female,63,6113
203030621174e11,2,2. Female,50,6113
704020722315e11,2,2. Female,70,6113
803090122587e11,1,2. Female,63,6113
130510032327e12,1,1. Male,42,6113
110305122293e12,1,1. Male,52,6113
100506062282e12,9,1. Male,19,6113
130302082323e12,1,2. Female,68,6113
901080522762e11,1,1. Male,30,6113
803080322561e11,1,2. Female,50,6113
601030121834e11,2,2. Female,48,6113
603021812288e11,1,1. Male,36,6113
703060422347e11,1,1. Male,47,6113
704060322376e11,2,2. Female,44,6113
202010421142e11,7,1. Male,74,6113
403020121667e11,3,1. Male,25,6113
704060522377e11,1,1. Male,63,6113
403150321509e11,1,1. Male,67,6113
303040621366e11,1,1. Male,50,6113
305040221279e11,2,2. Female,22,6113
10109022104e12,2,2. Female,25,6113
401030221624e11,5,1. Male,20,6113
110303022288e12,2,2. Female,65,6113
103060221021e11,1,1. Male,33,6113
703100122354e11,4,2. Female,18,6113
402040621639e11,1,1. Male,72,6113
704060322377e11,2,2. Female,20,6113
603030311996e11,7,2. Female,48,6113
404060421631e11,1,1. Male,57,6113
903020422753e11,5,2. Female,28,6113
70505032244e12,2,2. Female,21,6113
120202022309e12,2,2. Female,39,6113
703070222351e11,2,2. Female,25,6113
304110121341e11,1,1. Male,67,6113
110304022293e12,2,2. Female,42,6113
130401022316e12,1,1. Male,37,6113
702080522432e11,1,1. Male,70,6113
120103042304e12,2,2. Female,44,6113
13020703232e13,1,1. Male,40,6113
304010121356e11,2,2. Female,71,6113
306060521444e11,1,1. Male,32,6113
304040421385e11,2,2. Female,38,6113
110308022288e12,1,2. Female,85,6113
306080221438e11,2,2. Female,40,6113
406010721501e11,1,2. Female,75,6113
705020322271e11,8,1. Male,28,6113
704080122326e11,4,2. Female,20,6113
901090122747e11,1,1. Male,67,6113
104060121012e11,1,1. Male,63,6113
802020522502e11,3,2. Female,25,6113
130303022324e12,9,2. Female,74,6113
306040121456e11,3,2. Female,25,6113
10020304228e13,6,1. Male,17,6113
701090122479e11,3,1. Male,28,6113
13020402232e13,1,1. Male,44,6113
902030222758e11,1,1. Male,83,6113
110205012286e12,1,1. Male,32,6113
701010322256e11,1,1. Male,36,6113
130505032329e12,1,2. Female,52,6113
804040122544e11,6,2. Female,21,6113
703110322303e11,6,2. Female,29,6113
502030121721e11,2,2. Female,37,6113
30413022139e12,1,2. Female,79,6113
704061022385e11,1,1. Male,41,6113
80308012256e12,2,2. Female,45,6113
502010221726e11,3,1. Male,19,6113
306010321448e11,1,1. Male,48,6113
403180321489e11,1,1. Male,41,6113
505020421768e11,1,1. Male,43,6113
120308052301e12,1,1. Male,32,6113
101110221069e11,2,2. Female,27,6113
110303052292e12,3,2. Female,23,6113
130302042323e12,1,1. Male,42,6113
120401062309e12,2,2. Female,45,6113
104020321014e11,3,2. Female,16,6113
101050121001e11,2,2. Female,46,6113
302030921242e11,1,1. Male,32,6113
202010421141e11,1,1. Male,42,6113
130104022314e12,1,1. Male,29,6113
901090122641e11,9,2. Female,20,6113
100304042277e12,2,2. Female,52,6113
130507042325e12,2,2. Female,39,6113
701010422257e11,7,1. Male,35,6113
702080322432e11,1,1. Male,26,6113
702030222344e11,3,1. Male,22,6113
703100422353e11,1,2. Female,57,6113
703100122303e11,1,1. Male,49,6113
202010921212e11,2,2. Female,40,6113
701010122255e11,2,1. Male,43,6113
10104042106e12,3,1. Male,16,6113
504030621697e11,1,1. Male,53,6113
204070421178e11,1,1. Male,67,6113
80106022252e12,1,1. Male,37,6113
103060121022e11,2,1. Male,21,6113
403090421503e11,2,2. Female,69,6113
702060422484e11,7,2. Female,20,6113
201030221119e11,1,1. Male,65,6113
704020822315e11,3,1. Male,18,6113
602042121923e11,3,1. Male,25,6113
110105032292e12,2,1. Male,20,6113
120304052297e12,2,2. Female,28,6113
304130221346e11,1,1. Male,54,6113
802050322493e11,1,1. Male,63,6113
130303062324e12,2,1. Male,13,6113
104080421029e11,3,1. Male,29,6113
202010421139e11,1,1. Male,55,6113
100104012282e12,2,2. Female,45,6113
603021112149e11,1,1. Male,75,6113
803060122554e11,1,1. Male,47,6113
13020505232e13,2,2. Female,33,6113
703060322406e11,2,2. Female,55,6113
60601031195e12,2,2. Female,62,6113
601030121835e11,1,2. Female,68,6113
202010721127e11,3,1. Male,20,6113
302030921404e11,1,1. Male,65,6113
110203022287e12,2,2. Female,30,6113
110302062292e12,1,1. Male,41,6113
304100321362e11,2,2. Female,33,6113
110202022286e12,1,1. Male,72,6113
504030621722e11,2,2. Female,63,6113
304080121359e11,2,2. Female,75,6113
110302022295e12,1,1. Male,76,6113
304090321344e11,3,2. Female,27,6113
100504032278e12,5,1. Male,39,6113
801060422521e11,1,1. Male,41,6113
101110921067e11,2,2. Female,58,6113
102040521024e11,5,1. Male,21,6113
103060121022e11,1,1. Male,57,6113
130202042319e12,1,1. Male,54,6113
702070622438e11,1,2. Female,63,6113
703060222299e11,2,2. Female,28,6113
702061412335e11,1,2. Female,62,6113
506040121695e11,1,1. Male,65,6113
705060322458e11,1,1. Male,31,6113
702030222344e11,1,1. Male,70,6113
110302032393e12,1,1. Male,70,6113
705060422432e11,2,2. Female,55,6113
302060221255e11,1,1. Male,70,6113
703040922367e11,7,2. Female,11,6113
401020321616e11,1,1. Male,28,6113
703060222355e11,1,2. Female,67,6113
903030622694e11,1,1. Male,21,6113
101020321071e11,2,2. Female,68,6113
903030422696e11,3,1. Male,25,6113
405040321542e11,3,1. Male,22,6113
801010122516e11,1,1. Male,45,6113
902040322658e11,1,1. Male,31,6113
506030121693e11,2,2. Female,67,6113
110305042288e12,1,2. Female,64,6113
100304042277e12,5,1. Male,49,6113
101110421032e11,1,1. Male,64,6113
406020511566e11,2,2. Female,45,6113
402040521659e11,1,1. Male,24,6113
302030821404e11,1,1. Male,26,6113
601040321829e11,1,1. Male,44,6113
506030121692e11,2,2. Female,31,6113
703030822265e11,2,2. Female,41,6113
703130822444e11,2,2. Female,38,6113
305070321331e11,1,1. Male,42,6113
110102052292e12,1,1. Male,65,6113
110305132291e12,1,1. Male,42,6113
60302441212e12,1,1. Male,45,6113
1.0304032102400001e+22,6,2. Female,81,6113
100503042279e12,1,1. Male,66,6113
304090221343e11,2,2. Female,65,6113
703030722349e11,2,2. Female,31,6113
7.0302012230200004e+22,8,1. Male,22,6113
302030521239e11,6,1. Male,17,6113
704020722315e11,8,2. Female,34,6113
203021221149e11,1,1. Male,67,6113
103020121021e11,1,1. Male,33,6113
704070222379e11,2,2. Female,52,6113
703050322281e11,12,2. Female,29,6113
506040321737e11,2,2. Female,30,6113
803010522598e11,2,2. Female,29,6113
302010611312e11,3,2. Female,28,6113
110306012294e12,1,1. Male,40,6113
130207012321e12,1,2. Female,60,6113
130403012318e12,1,2. Female,42,6113
601010421907e11,2,2. Female,44,6113
702060222275e11,1,1. Male,51,6113
110102052292e12,2,2. Female,43,6113
703070322351e11,2,2. Female,25,6113
406050511554e11,1,1. Male,37,6113
703010422313e11,4,2. Female,23,6113
7.0204012228000004e+22,3,1. Male,17,6113
801060322521e11,4,2. Female,39,6113
101110921034e11,3,2. Female,18,6113
401020321616e11,3,1. Male,22,6113
602060121879e11,1,1. Male,70,6113
130505022317e12,3,2. Female,24,6113
110102052292e12,3,1. Male,25,6113
402040121662e11,3,1. Male,56,6113
11040101229e13,1,1. Male,29,6113
302080121215e11,1,1. Male,40,6113
606030421948e11,1,1. Male,63,6113
901090322654e11,6,2. Female,55,6113
703090522307e11,4,2. Female,20,6113
110302062292e12,6,1. Male,23,6113
801020122533e11,3,1. Male,21,6113
1203040323e14,2,2. Female,25,6113
130301022324e12,1,1. Male,38,6113
130301052317e12,1,1. Male,67,6113
130103012314e12,7,2. Female,27,6113
110307032289e12,2,2. Female,48,6113
120203022296e12,1,1. Male,69,6113
703020722349e11,6,1. Male,17,6113
130205012321e12,2,2. Female,59,6113
20402012115e12,2,2. Female,24,6113
404020221646e11,1,1. Male,65,6113
801040322529e11,1,1. Male,60,6113
202020521137e11,1,1. Male,33,6113
506040521741e11,2,2. Female,30,6113
202010921213e11,2,2. Female,41,6113
104040221029e11,1,1. Male,45,6113
120401112311e12,1,1. Male,60,6113
110102052292e12,1,1. Male,38,6113
805010322614e11,1,1. Male,66,6113
120102082305e12,3,2. Female,31,6113
903040122745e11,10,1. Male,22,6113
702070122424e11,3,1. Male,16,6113
101110221072e11,4,2. Female,12,6113
90109052264e12,1,1. Male,51,6113
110201012286e12,1,1. Male,65,6113
110303042292e12,5,1. Male,35,6113
110102052292e12,1,1. Male,40,6113
7030509223e13,2,2. Female,59,6113
80403032251e12,3,2. Female,32,6113
130301022324e12,4,2. Female,61,6113
